"Unless indicated otherwise, individual judges scores are given (in parenthesis) in this order from left to right: Craig Revel Horwood, Darcey Bussell, Len Goodman and Bruno Tonioli.",,,,
,,,,
Launch Show,,,,
,,,,
"Musical Guest: Olly Murs - ""You Don't Know Love"" and Rebecca Ferguson - ""Bones""",,,,
,,,,
Week 1,,,,
,,,,
Night 1,,,,
,,,,
Couple,Score,Dance,Music,
Laura and Giovanni,"25 (5,6,7,7)",Cha-cha-cha,"""Venus"" - Shocking Blue",
Naga and Pasha,"23 (5,6,6,6)",Waltz,"""Run to You"" - Whitney Houston",
Judge Rinder and Oksana,"25 (6,7,6,6)",Cha-cha-cha,"""Mercy"" - Duffy",
Lesley and Anton,"23 (5,6,6,6)",Waltz,"""What'll I Do"" - Alison Krauss",
Ore and Joanne,"27 (7,7,6,7)",Tango,"""Geronimo"" - Sheppard",
Greg and Natalie,"27 (6,7,7,7)",Jive,"""Get Ready"" - The Temptations",
,,,,
Night 2,,,,
,,,,
Couple,Score,Dance,Music,
Louise and Kevin,"31 (8,7,8,8)",Jive,"""Jump, Jive an' Wail"" - The Brian Setzer Orchestra",
Melvin and Janette,"22 (4,6,6,6)",Cha-cha-cha,"""Loco in Acapulco"" - Four Tops",
Daisy and Aljaz,"32 (7,8,9,8)",Waltz,"""Unforgettable"" - Nat King Cole",
Danny and Oti,"31 (8,8,7,8)",Cha-cha-cha,"""Cake by the Ocean"" - DNCE",
Tameka and Gorka,"26 (6,6,7,7)",Paso Doble,"""Y Viva Espana"" - Sylvia",
Anastacia and Brendan,"28 (8,7,7,6)",Cha-cha-cha,"""Lady Marmalade"" - from Moulin Rouge!",
Ed and Katya,"21 (5,5,6,5)",Waltz,"""Are You Lonesome Tonight?"" - Elvis Presley",
Claudia and AJ,"26 (6,6,7,7)",Cha-cha-cha,"""What Makes You Beautiful"" - One Direction",
Will and Karen,"30 (8,8,7,7)",Tango,"""Let's Dance"" - David Bowie",
,,,,
Week 2,,,,
,,,,
"Musical Guest: Barry Gibb - ""In the Now""",,,,
,,,,
Couple,Score,Dance,Music,Result
Ore and Joanne,"27 (6,7,7,7)",Cha-cha-cha,"""Hot Stuff"" - Donna Summer",Safe
Claudia and AJ,"30 (6,8,8,8)",Waltz,"""You Light Up My Life"" - Whitney Houston",Safe
Will and Karen,"27 (5,7,8,7)",Jive,"""Rock Around the Clock"" - Bill Haley and His Comets",Safe
Lesley and Anton,"26 (6,7,7,6)",Cha-cha-cha,"""Perhaps, Perhaps, Perhaps"" - The Pussycat Dolls",Safe
Greg and Natalie,"26 (6,7,6,7)",Tango,"""Jump"" - Van Halen",Safe
Tameka and Gorka,"29 (7,7,7,8)",Charleston,"""Yes Sir, That's My Baby"" - Firehouse Five Plus Two",Safe
Laura and Giovanni,"32 (8,8,8,8)",Waltz,"""If I Ain't Got You"" - Alicia Keys",Safe
Melvin and Janette,"23 (5,6,6,6)",Tango,"""Moving On Up"" - M People",Eliminated
Louise and Kevin,"32 (8,8,8,8)",Viennese Waltz,"""Hallelujah"" - k.d. lang",Safe
Anastacia and Brendan,"22 (4,6,6,6)",Salsa,"""Sax"" - Fleur East",Bottom Two
Ed and Katya,"23 (3,7,6,7)",Charleston,"""The Banjo's Back in Town"" - Alma Cogan",Safe
Naga and Pasha,"23 (4,6,6,7)",Cha-cha-cha,"""A Fool in Love"" - Ike & Tina Turner",Safe
Judge Rinder and Oksana,"27 (6,7,7,7)",American Smooth,"""Marvin Gaye"" - Charlie Puth ft. Meghan Trainor",Safe
Daisy and Aljaz,"30 (7,8,7,8)",Cha-cha-cha,"""Forget You"" - CeeLo Green",Safe
Danny and Oti,"32 (8,8,8,8)",Viennese Waltz,"""Never Tear Us Apart"" - INXS",Safe
,,,,
"Due to an injury, Anastacia and Brendan were unable to participate in the Dance Off. Therefore, the couple with the fewest number of public votes were eliminated.",,,,
,,,,
Week 3: Movie Week,,,,
,,,,
"Musical Guest: Alfie Boe and Michael Ball - ""Somewhere""",,,,
,,,,
Couple,Score,Dance,Music,Result
Daisy and Aljaz,"31 (7,8,8,8)",Quickstep,"""A Spoonful of Sugar"" - from Mary Poppins",Safe
Anastacia and Brendan,"27 (6,7,7,7)",Viennese Waltz,"""A Thousand Years"" - from The Twilight Saga",Safe
Danny and Oti,"36 (9,9,9,9)",Paso Doble,"""The Train/El Sombrero Blanco"" - from The Mask of Zorro",Safe
