"Unless indicated otherwise, individual judges scores are given (in parenthesis) in this order from left to right: Craig Revel Horwood, Arlene Phillips, Len Goodman and Bruno Tonioli.",,,,
,,,,
Week 1,,,,
,,,,
"Musical Guest: Bette Midler - ""Wind Beneath My Wings""",,,,
,,,,
Couple,Score,Dance,Music,Result
Tom and Camilla,"28 (6,7,8,7)",Cha-cha-cha,"""Nowehere to Run"" - Martha and the Vandellas",Safe
Phil and Flavia,"20 (4,5,6,5)",Waltz,"""I Have Nothing"" - Whitney Houston",Eliminated
Don and Lilia,"19 (3,5,6,5)",Cha-cha-cha,"""Let's Groove"" - Earth, Wind & Fire",Bottom Two
Austin and Erin,"32 (7,8,9,8)",Waltz,"""The Rainbow Connection"" - Sarah McLachlan",Safe
Mark and Hayley,"22 (3,6,7,6)",Waltz,"""Tennessee Waltz"" - Patti Page",Safe
Gary and Karen,"17 (1,5,6,5)",Cha-cha-cha,"""Hippy Hippy Shake"" - The Swinging Blue Jeans",Safe
John and Kristina,"22 (5,5,6,6)",Waltz,"""Come Away with Me"" - Norah Jones",Safe
Andrew and Ola,"23 (4,6,7,6)",Cha-cha-cha,"""Mercy"" - Duffy",Safe
,,,,
Week 2,,,,
,,,,
"Musical Guest: Sugababes - ""Girls""",,,,
,,,,
Couple,Score,Dance,Music,Result
Jessie and Darren,"20 (4,4,6,6)",Salsa,"""Hey Mambo"" - Barry Manilow",Safe
Christine and Matthew,"27 (6,6,8,7)",Foxtrot,"""The Way You Look Tonight"" - Frank Sinatra",Safe
Lisa and Brendan,"22 (5,5,6,6)",Salsa,"""Rhythm Is Gonna Get You"" - Gloria Estefan",Safe
Jodie and Ian,"25 (5,6,7,7)",Foxtrot,"""I've Got the World on a String"" - Frank Sinatra",Bottom Two
Heather and Brian,"26 (5,6,8,7)",Salsa,"""La Banda"" - Willie Colon",Safe
Gillian and Anton,"22 (4,5,7,6)",Foxtrot,"""Razzle Dazzle"" - Richard Gere",Eliminated
Rachel and Vincent,"31 (7,8,8,8)",Salsa,"""Can't Buy Me Love"" - The Beatles",Safe
Cherie and James,"33 (8,8,9,8)",Foxtrot,"""Sweet About Me"" - Gabriella Cilmi",Safe
,,,,
Week 3,,,,
,,,,
"Musical Guest: Andrea Bocelli - ""Canto della Terra""",,,,
,,,,
Couple,Score,Dance,Music,Result
Austin and Erin,"34 (8,8,9,9)",Jive,"""You Can't Stop the Beat"" - from Hairspray",Safe
Mark and Hayley,"24 (5,5,7,7)",Tango,"""Tanguera"" - Sexteto Mayor",Bottom Two
Gary and Karen,"18 (3,4,6,5)",Jive,"""Lipstick, Powder and Paint"" - Shakin' Stevens",Eliminated
John and Kristina,"22 (3,6,6,7)",Tango,"""Boulevard of Broken Dreams"" - Tony Bennett",Safe
Andrew and Ola,"22 (4,6,7,5)",Tango,"""20th Century Boy"" - T. Rex",Safe
Tom and Camilla,"33 (7,8,9,9)",Jive,"""Black and Gold"" - Sam Sparro",Safe
Don and Lilia,"30 (7,7,8,8)",Tango,"""Whatever Lola Wants"" - Gotan Project",Safe
,,,,
Week 4,,,,
,,,,
"Musical Guest: Simply Red - ""Something Got Me Started""",,,,
,,,,
Couple,Score,Dance,Music,Result
Christine and Matthew,"26 (6,6,7,7)",Quickstep,"""She's So Lovely"" - Scouting for Girls",Safe
Jodie and Ian,"22 (4,6,6,6)",Rumba,"""I Just Can't Stop Loving You"" - Michael Jackson",Safe
Heather and Brian,"23 (6,5,6,6)",Quickstep,"""Old Man Time"" - Jimmy Durante",Bottom Two
Cherie and James,"35 (9,9,8,9)",Rumba,"""Songbird"" - Eva Cassidy",Safe
Jessie and Darren,"19 (3,5,5,6)",Quickstep,"""Help!"" - The Beatles",Eliminated
Lisa and Brendan,"32 (8,8,8,8)",Rumba,"""Suddenly"" - Billy Ocean",Safe
Rachel and Vincent,"33 (8,8,9,8)",Quickstep,"""Little Green Bag"" - George Baker",Safe
,,,,
Week 5,,,,
,,,,
"Musical Guest: Alesha Dixon - ""The Boy Does Nothing""; Katherine Jenkins and Darcey Bussell - ""Viva Tonight""",,,,
,,,,
Couple,Score,Dance,Music,Result
Rachel and Vincent,"30 (7,7,8,8)",Samba,"""Hips Don't Lie"" - Shakira",Safe
Lisa and Brendan,"35 (8,9,9,9)",American Smooth,"""It Happened In Monterey"" - Frank Sinatra",Safe
Heather and Brian,"23 (4,6,6,7)",Samba,"""Lola, Lola"" - Andy Fortuna",Bottom Two
Cherie and James,"34 (7,9,9,9)",American Smooth,"""Layla"" - Eric Clapton",Safe
Mark and Hayley,"17 (3,4,5,5)",Samba,"""Spice Up Your Life"" - Spice Girls",Safe
Don and Lilia,"25 (6,6,7,6)",American Smooth,"""Can't Smile Without You"" - Barry Manilow",Eliminated
Austin and Erin,"32 (8,8,8,8)",Samba,"""Move Your Feet"" - Junior Senior",Safe
Andrew and Ola,"17 (3,4,5,5)",American Smooth,"""You Know I'm No Good"" - Amy Winehouse",Safe
Christine and Matthew,"30 (7,7,8,8)",Samba,"""Baila, Baila Conmigo"" - Ruben Gomez",Safe
Jodie and Ian,"30 (7,7,8,8)",American Smooth,"""Witchcraft"" - Frank Sinatra",Safe
John and Kristina,"16 (2,4,5,5)",Samba,"""Papa Loves Mambo"" - Perry Como",Safe
Tom and Camilla,"35 (8,9,9,9)",American Smooth,"""Chicago (That Toddlin' Town)"" - Frank Sinatra",Safe
,,,,
Week 6,,,,
,,,,
"Musical Guest: Enrique Iglesias - ""Hero""",,,,
,,,,
Couple,Score,Dance,Music,Result
Lisa and Brendan,"29 (7,7,8,7)",Paso Doble,"""Eye of the Tiger"" - Survivor",Safe
Andrew and Ola,"24 (5,6,7,6)",Viennese Waltz,"""Annie's Song"" - John Denver",Bottom Two
Christine and Matthew,"22 (3,6,7,6)",Paso Doble,"""Fighter"" - Christina Aguilera",Safe
Austin and Erin,"34 (8,8,9,9)",Viennese Waltz,"""Send in the Clowns"" - Stephen Sondheim and Glynis Johns",Safe
Cherie and James,"31 (7,8,8,8)",Paso Doble,"""Amparito Roca"" - Jaime Teixidor",Safe
Heather and Brian,"27 (5,7,7,8)",Viennese Waltz,"""Vision of Love"" - Mariah Carey",Safe
Mark and Hayley,"16 (2,3,6,5)",Paso Doble,"""Since U Been Gone"" - Kelly Clarkson",Eliminated
Tom and Camilla,"32 (7,9,7,9)",Viennese Waltz,"""Can't Help Falling in Love"" - Elvis Presley",Safe
John and Kristina,"21 (3,6,6,6)",Paso Doble,"""Concierto de Aranjuez"" - Joaquin Rodrigo",Safe
Rachel and Vincent,"32 (8,8,8,8)",Viennese Waltz,"""Everybody Hurts"" - R.E.M.",Safe
