"Unless indicated otherwise, individual judge's scores in the charts below (given in round brackets) are listed in this order from left to right: Craig Revel Horwood, Darcey Bussell, Shirley Ballas, Bruno Tonioli.",,,,
,,,,
Launch show,,,,
,,,,
"Musical guests: Nile Rodgers & Chic feat. Craig David & Stefflon Don—""Sober""[12]",,,,
,,,,
Week 1,,,,
,,,,
Running order,,,,
,,,,
Danny & Amy,"27 (6,7,7,7)",Viennese Waltz,"""I've Gotta Be Me""—Sammy Davis Jr.",Safe
Faye & Giovanni,"29 (7,7,7,8)",Rumba,"""Chandelier""—Sia",Safe
Katie & Gorka,"18 (3,5,5,5)",Jive,"""Why Do Fools Fall in Love""—Frankie Lymon & The Teenagers",Eliminated
Charles & Karen,"25 (6,6,6,7)",Salsa,"""Use It Up and Wear It Out""—Odyssey",Bottom two
Lauren & AJ,"25 (6,6,6,7)",Quickstep,"""If You're Over Me""—Years & Years",Safe
Dr. Ranj & Janette,"27 (6,7,7,7)",Paso Doble,"""Canción del Mariachi""—Los Lobos",Safe
Kate & Aljaž,"20 (4,5,5,6)",Samba,"""Africa""—Toto",Safe
Graeme & Oti,"26 (5,7,7,7)",Jive,"""Don't Stop Me Now""—Queen",Safe
Ashley & Pasha,"32 (8,8,8,8)",Tango,"""Look What You Made Me Do""—Taylor Swift",Safe
Seann & Katya,"28 (6,7,8,7)",Charleston,"""Bills""—LunchMoney Lewis",Safe
Stacey & Kevin,"33 (8,8,8,9)",Foxtrot,"""Hi Ho Silver Lining""—Jeff Beck",Safe
,,,,
Judges' votes to save,,,,
,,,,
Revel Horwood: Charles & Karen,,,,
Bussell: Charles & Karen,,,,
Tonioli: Charles & Karen,,,,
"Ballas: Did not vote, but would have voted to save Charles & Karen",,,,
,,,,
Week 5,,,,
,,,,
"Individual judge's scores given in the chart below (given in parentheses) are listed in this order from left to right: Craig Revel Horwood, Darcey Bussell, Shirley Ballas, Alfonso Ribeiro.",,,,
,,,,
"Musical guest: Paloma Faith—""Loyal""",,,,
,,,,
Running order,,,,
,,,,
Couple,Score[21],Dance[22],Music[22],Result
Dr. Ranj & Janette,"25 (5,6,7,7)",American Smooth,"""Wouldn't It Be Nice""—The Beach Boys",Safe
Lauren & AJ,"24 (4,6,7,7)",Contemporary,"""Runnin' (Lose It All)""—Naughty Boy feat. Beyoncé & Arrow Benjamin",Safe
Graeme & Oti,"29 (6,7,8,8)",Tango,"""Roxanne""—The Police",Safe
Ashley & Pasha,"36 (9,9,9,9)",Rumba,"""Something About the Way You Look Tonight""—Elton John",Safe
Seann & Katya,"24 (5,6,6,7)",Quickstep,"""Lightning Bolt""—Jake Bugg",Bottom two
Stacey & Kevin,"33 (8,7,9,9)",Samba,"""Tequila""—David Hirschfelder & The Bogo Pogo Orchestra",Safe
Joe & Dianne,"29 (6,7,8,8)",Waltz,"""Rainbow Connection""—Sleeping at Last",Safe
Vick & Graziano,"20 (4,6,4,6)",Cha-Cha-Cha,"""More than Friends""—James Hype feat. Kelli-Leigh",Eliminated
Kate & Aljaž,"26 (6,6,6,8)",Viennese Waltz,"""Finally Mine""—Juliet Roberts",Safe
Danny & Amy,"37 (9,10,9,9)",Jive,"""Flip, Flop and Fly""—Ellis Hall",Safe
Faye & Giovanni,"33 (8,9,8,8)",Foxtrot,"""Just the Way You Are""—Bruno Mars",Safe
Charles & Karen,"36 (9,9,9,9)",Street,"""Get Up Offa That Thing""—James Brown",Safe
,,,,
Judges' votes to save,,,,
,,,,
Revel Horwood: Vick & Graziano,,,,
Bussell: Seann & Katya,,,,
Ribeiro: Seann & Katya,,,,
Ballas: Seann & Katya,,,,
,,,,
Week 6: Halloween Week,,,,
,,,,
"Musical guest: Rita Ora—""Let You Love Me""",,,,
,,,,
Running order,,,,
,,,,
Couple,Score[23],Dance[24],Music[24],Result
Graeme & Oti,"21 (4,5,6,6)",Cha-Cha-Cha,"""Thriller""—Michael Jackson",Bottom two
Stacey & Kevin,"35 (8,9,9,9)",Tango,"""Doctor Who theme""—Ron Grainer",Safe
Dr. Ranj & Janette,"20 (5,5,5,5)",Jive,"""Monster Mash""—Bobby ""Boris"" Pickett",Safe
Kate & Aljaž,"20 (4,6,5,5)",Rumba,"""Skin""—Rag'n'Bone Man",Safe
Danny & Amy,"30 (6,8,7,9)",American Smooth,"""Spirit in the Sky""—Doctor and the Medics",Safe
Ashley & Pasha,"39 (9,10,10,10)",Charleston,"""Witch Doctor""—Don Lang",Safe
Seann & Katya,"20 (3,5,6,6)",Viennese Waltz,"""I Put a Spell on You""—Screamin' Jay Hawkins",Eliminated
Charles & Karen,"25 (6,6,6,7)",Jive,"""Time Warp""—from The Rocky Horror Picture Show",Safe
Faye & Giovanni,"39 (9,10,10,10)",Jazz,"""Fever""—Peggy Lee",Safe
Joe & Dianne,"35 (8,9,9,9)",Foxtrot,"""Youngblood""—5 Seconds of Summer",Safe
Lauren & AJ,"29 (6,7,8,8)",Paso Doble,"""Poison""—Nicole Scherzinger",Safe
,,,,
Judges' votes to save,,,,
,,,,
Revel Horwood: Graeme & Oti,,,,
Bussell: Graeme & Oti,,,,
Tonioli: Graeme & Oti,,,,
"Ballas: Did not vote, but would have voted to save Graeme & Oti",,,,
,,,,
Week 7,,,,
,,,,
"Musical guests: The Kingdom Choir—Aretha Franklin medley; Jess Glynne—""Thursday""[25]",,,,
,,,,
Running order,,,,
,,,,
Couple,Score[26],Dance[27],Music[27],Result
Lauren & AJ,"31 (7,8,8,8)",Jive,"""Girlfriend""—Avril Lavigne",Safe
Graeme & Oti,"29 (6,7,8,8)",Waltz,"""The Last Waltz""—Engelbert Humperdinck",Safe
Kate & Aljaž,"23 (4,6,6,7)",Argentine Tango,"""Assassin's Tango""—John Powell",Safe
Dr. Ranj & Janette,"27 (6,7,7,7)",Samba,"""Freedom! '90""—George Michael",Eliminated
Stacey & Kevin,"36 (9,9,9,9)",Street,"""Empire State of Mind (Part II) Broken Down""—Alicia Keys",Safe
Danny & Amy,"22 (4,6,5,7)",Quickstep,"""Freedom""—Pharrell Williams",Safe
Ashley & Pasha,"39 (9,10,10,10)",Foxtrot,"""Orange Colored Sky""—Natalie Cole",Safe
Faye & Giovanni,"38 (9,10,9,10)",Tango,"""Call Me""—Blondie",Safe
Charles & Karen,"28 (6,7,7,8)",Viennese Waltz,"""Piano Man""—Billy Joel",Bottom two
Joe & Dianne,"34 (7,9,9,9)",Paso Doble,"""Pompeii""—Bastille",Safe
,,,,
Judges' votes to save,,,,
,,,,
Revel Horwood: Dr. Ranj & Janette,,,,
Bussell: Charles & Karen,,,,
Tonioli: Charles & Karen,,,,
