"Unless indicated otherwise, individual judges scores are given (in parenthesis) in this order from left to right: Craig Revel Horwood, Arlene Phillips, Len Goodman and Bruno Tonioli.",,,,
,,,,
Week 1,,,,
,,,,
"Individual judges' scores in the chart below (given in parenthesis) are listed in this order from left to right: Bruno Tonioli, Arlene Phillips, Len Goodman and Craig Revel Horwood.",,,,
,,,,
Couple,Score,Dance,Music,
Natasha and Brendan,"27 (7,7,8,5)",Cha-cha-cha,"""Chain of Fools"" - Aretha Franklin",
Lesley and Anton,"29 (7,8,8,6)",Waltz,"""He Was Beautiful"" - Cleo Laine",
Cristopher and Hanna,"19 (4,4,7,4)",Cha-cha-cha,"""Lady Marmalade"" - Labelle",
Jason and Kylie,"21 (5,5,6,5)",Waltz,"""Three Times A Lady"" - Commodores",
Verona and Paul,"27 (7,6,7,7)",Cha-cha-cha,"""Respect"" - Aretha Franklin",
Claire and John,"27 (5,7,8,7)",Waltz,"""Unchained Melody"" - The Righteous Brothers from Ghost",
David and Camilla,"16 (4,4,6,2)",Cha-cha-cha,"""Sex Bomb"" - Tom Jones",
Martin and Erin,"25 (7,6,7,5)",Waltz,"""Come Away With Me"" - Norah Jones",
,,,,
Week 2,,,,
,,,,
Couple,Score,Dance,Music,Result
Natasha and Brendan,"31 (7,8,8,8)",Quickstep,"""The Lady is a Tramp"" - Frank Sinatra",Safe
Martin and Erin,"21 (3,5,7,6)",Rumba,"""Hero"" - Mariah Carey",Safe
Christopher and Hanna,"23 (5,6,6,6)",Quickstep,"""You're the One That I Want"" - from Grease",Safe
Claire and John,"26 (6,6,7,7)",Rumba,"""Angels"" - Robbie Williams",Safe
Verona and Paul,"24 (6,6,6,6)",Quickstep,"""If My Friends Could See Me Now"" - from Sweet Charity",Safe
Jason and Kylie,"19 (2,5,7,5)",Rumba,"""Leave Right Now"" - Will Young",Eliminated
David and Camilla,"21 (3,6,6,6)",Quickstep,"""Let's Face The Music and Dance"" - from Follow the Fleet",Bottom Two
Lesley and Anton,"27 (6,7,7,7)",Rumba,"""You'll Never Find Another Love Like Mine"" - Lou Rawls",Safe
,,,,
Week 3,,,,
,,,,
This week's show is filmed in the Blackpool Tower Ballroom.,,,,
,,,,
Couple,Score,Dance,Music,Result
Verona and Paul,"24 (6,6,6,6)",Jive,"""Proud Mary"" - Tina Turner",Safe
Lesley and Anton,"29 (7,8,7,7)",Tango,"""Sensation"" - The Who",Safe
Martin and Erin,"21 (5,5,5,6)",Jive,"""Great Balls of Fire"" - Jerry Lee Lewis",Safe
David and Camilla,"20 (4,6,5,5)",Tango,"""La Cumparsita"" - Gerardo Matos Rodriguez",Eliminated
Christopher and Hanna,"19 (5,4,5,5)",Jive,"""Do You Love Me"" - The Contours",Safe
Claire and John,"34 (8,9,9,8)",Tango,"""Roxanne"" - The Police",Safe
Natasha and Brendan,"26 (7,7,5,7)",Jive,"""Jump, Jive and Wail"" - Louis Prima",Bottom Two
,,,,
Week 4,,,,
,,,,
Couple,Score,Dance,Music,Result
Claire and John,"31 (8,8,7,8)",Paso Doble,"""Espana cani"" - Pascual Marquina Narro",Safe
Christopher and Hanna,"28 (6,7,8,7)",Foxtrot,"""Flying Without Wings"" - Westlife",Safe
Verona and Paul,"24 (5,6,6,7)",Paso Doble,"""Bolero"" - Maurice Ravel",Eliminated
Natasha and Brendan,"35 (8,9,9,9)",Foxtrot,"""The Girl from Ipanema"" - Antonio Carlos Jobim",Safe
Lesley and Anton,"30 (7,7,8,8)",Paso Doble,"""La Cumparsita"" - Gerardo Matos Rodriguez",Bottom Two
Martin and Erin,"24 (6,5,7,6)",Foxtrot,"""Let There Be Love"" - Nat King Cole",Safe
,,,,
Week 5,,,,
,,,,
Couple,Score,Dance,Music,Result
Lesley and Anton,"27 (7,6,7,7)",Samba,"""Mas que Nada"" - Jorge Ben",Bottom Two
Martin and Erin,"22 (5,5,6,6)",Samba,"""Crickets Sing for Anamaria"" - Marcos Valle",Safe
Christopher and Hanna,"15 (3,4,4,4)",Samba,"""Soul Bossa Nova"" - Quincy Jones",Safe
Claire and John,"32 (8,8,8,8)",Samba,"""Shake Your Bon-Bon"" - Ricky Martin",Eliminated
Natasha and Brendan,"37 (9,10,9,9)",Samba,"""Love Is in the Air"" - John Paul Young",Safe
,,,,
Week 6,,,,
,,,,
Couple,Score,Dance,Music,Result
Martin and Erin,"24 (5,6,6,7)",Quickstep,"""It Don't Mean a Thing (If It Ain't Got That Swing)"" - Duke Ellington",Eliminated
,"24 (6,6,6,6)",Cha-cha-cha,"""Smooth"" - Santana",
Natasha and Brendan,"31 (8,7,8,8)",Tango,"""Libertango"" - Astor Piazzolla",Safe
,"36 (9,9,9,9)",Rumba,"""Endless Love"" - Lionel Richie",
Christopher and Hanna,"22 (5,6,5,6)",Waltz,"""I Have Nothing"" - Whitney Houston",Safe
,"15 (3,4,5,3)",Paso Doble,"""Bamboleo"" - Gipsy Kings",
Lesley and Anton,"34 (8,8,9,9)",Foxtrot,"""I've Got You Under My Skin"" - Frank Sinatra",Bottom Two
,"26 (6,6,7,7)",Cha-cha-cha,"""Spinning Around"" - Kylie Minogue",
,,,,
Week 7,,,,
,,,,
Couple,Score,Dance,Music,Result
Lesley and Anton,"33 (8,8,8,9)",Quickstep,"""That Old Black Magic"" - Sammy Davis, Jr.",3rd Place
,"29 (7,7,8,7)",Jive,"""My Baby Just Cares for Me"" - Nina Simone",
Natasha and Brendan,"36 (9,9,9,9)",Waltz,"""With You I'm Born Again"" - Billy Preston and Syreeta Wright",Safe
,"35 (8,9,9,9)",Paso Doble,"""O Fortuna"" - Carl Orff",
Christopher and Hanna,"21 (2,6,7,6)",Tango,"""Toxic"" - Britney Spears",Bottom Two
,"16 (2,4,5,5)",Rumba,"""Careless Whisper"" - George Michael",
,,,,
Week 8: Final,,,,
,,,,
Couple,Score,Dance,Music,Result
Natasha and Brendan,"36 (9,9,9,9)",Quickstep,"""The Lady is a Tramp"" - Frank Sinatra",Winner
,"31 (7,7,9,8)",Samba,"""Love Is in the Air"" - John Paul Young",
,"35 (8,9,9,9)",Showdance,"""(I've Had) The Time of My Life"" - Bill Medley and Jennifer Warnes",
Christopher and Hanna,"24 (6,5,6,7)",Waltz,"""I Have Nothing"" - Whitney Houston",2nd Place
,"17 (3,3,7,4)",Jive,"""Do You Love Me"" - The Contours",
,"22 (4,6,7,5)",Showdance,"""Fame"" - Irene Cara",
