Celebrity,Known for,Age,Celebrity_BAME,Professional,Series,Place,Dances,Best score,Worst score,Aggregate,Average
James Cracknell,Olympic rower,47,0,Luba Mushtuk,17,15th/15,2,13,11,24,12
Anneka Rice,TV presenter,61,0,Kevin Clifton,17,14th/15,3,19,11,44,14.67
Dev Griffin,Radio DJ,34,1,Dianne Buswell,17,13th/15,4,36,27,120,30
David James,Footballer,49,0,Nadiya Bychkova,17,12th/15,5,28,10,87,17.4
Catherine Tyldesley,Actress,36,0,Johannes Radebe,17,11th/15,6,32,19,153,25.5
Will Bayley,Paralympic table tennis player,31,0,Janette Manrara,17,10th/15,5,32,23,129,25.8
Emma Weymouth,Model,33,1,Aljaž Škorjanec,17,9th/15,7,36,19,189,27
Mike Bushell,TV presenter,53,0,Katya Jones,17,8th/15,8,32,14,188,23.5
Michelle Visage,TV personality,51,0,Giovanni Pernice,17,7th/15,9,39,29,298,33.11
Saffron Barker,Internet personality,19,0,AJ Pritchard,17,6th/15,10,39,23,309,30.9
Alex Scott,Footballer,35,1,Neil Jones,17,5th/15,11,34,21,305,27.73
Alex Scott,Footballer,35,1,Kevin Clifton,17,,,,,,
Chris Ramsey,Comedian,33,0,Karen Hauer,17,4th/15,13,34,13,341,26.23
Emma Barton,Actress,42,0,Anton du Beke,17,=2nd/15,16,39,22,506,31.63
Karim Zeroual,TV presenter & actor,26,1,Amy Dowden,17,=2nd/15,16,40,26,571,35.69
Kelvin Fletcher,Actor,35,0,Oti Mabuse,17,1st/15,16,40,28,583,36.44
Jacqui Smith,Politician,57,0,Anton du Beke,18,12th/12,2,17,16,33,16.5
Jason Bell,American football player,42,1,Luba Mushtuk,18,11th/12,3,24,16,61,20.33
Nicola Adams,Boxer,38,1,Katya Jones,18,10th/12,3,32,25,85,28.33
Max George,Singer,32,0,Dianne Buswell,18,9th/12,4,32,23,109,27.25
Caroline Quentin,Actress & TV presenter,60,0,Johannes Radebe,18,8th/12,5,32,28,145,29
Clara Amfo,Radio DJ,36,1,Aljaž Škorjanec,18,7th/12,6,39,23,162,27
JJ Chalmers,TV presenter,33,0,Amy Dowden,18,6th/12,7,33,23,196,28
Ranvir Singh,TV presenter,43,1,Giovanni Pernice,18,5th/12,9,36,24,282,31.33
HRVY,Singer & TV presenter,21,0,Janette Manrara,18,=2nd/12,12,40,28,432,36
Jamie Laing,TV personality,32,0,Karen Hauer,18,=2nd/12,12,39,19,386,32.17
Maisie Smith,Actress,19,0,Gorka Márquez,18,=2nd/12,12,40,32,438,36.5
Bill Bailey,Comedian,55,0,Oti Mabuse,18,1st/12,12,40,20,402,33.5
Adam Peaty,Olympic swimmer,26,0,Katya Jones,19,TBA/15,1,30,30,30,30
AJ Odudu,TV presenter,33,1,Kai Widdrington,19,TBA/15,1,34,34,34,34
Dan Walker,TV presenter,44,0,Nadiya Bychkova,19,TBA/15,1,24,24,24,24
Greg Wise,Actor,55,0,Karen Hauer,19,TBA/15,1,24,24,24,24
John Whaite,Chef & TV presenter,32,0,Johannes Radebe,19,TBA/15,1,30,30,30,30
Judi Love,Comedian,41,1,Graziano Di Prima,19,TBA/15,1,24,24,24,24
Katie McGlynn,Actress,28,0,Gorka Márquez,19,TBA/15,1,22,22,22,22
Nina Wadia,Actress,52,1,Neil Jones,19,TBA/15,1,24,24,24,24
Rhys Stephenson,TV presenter,28,0,Nancy Xu,19,TBA/15,1,27,27,27,27
Robert Webb,Comedian,49,0,Dianne Buswell,19,TBA/15,1,20,20,20,20
Rose Ayling-Ellis,Actress,26,0,Giovanni Pernice,19,TBA/15,1,22,22,22,22
Sara Davies,Businesswoman & TV personality,37,0,Aljaž Škorjanec,19,TBA/15,1,17,17,17,17
Tilly Ramsay,Chef & TV presenter,19,0,Nikita Kuzmin,19,TBA/15,1,21,21,21,21
Tom Fletcher,Musician,36,0,Amy Dowden,19,TBA/15,1,21,21,21,21
Ugo Monye,Rugby player,38,1,Oti Mabuse,19,TBA/15,1,18,18,18,18
