"Unless indicated otherwise, individual judges scores are given (in parenthesis) in this order from left to right: Craig Revel Horwood, Darcey Bussell, Len Goodman and Bruno Tonioli.",,,,
,,,,
Launch Show,,,,
,,,,
"Musical Guest: Jess Glynne - ""Don't Be So Hard on Yourself"" & ""Hold My Hand"" and Gregory Porter - ""Puttin' On the Ritz""",,,,
,,,,
Week 1,,,,
,,,,
Night 1,,,,
,,,,
Couple,Score,Dance,Music,
Kellie and Kevin,"27 (6,7,7,7)",Tango,"""You Really Got Me"" - The Kinks",
Anthony and Oti,"21 (4,5,6,6)",Jive,"""Wake Me Up Before You Go-Go"" - Wham!",
Helen and Aljaz,"29 (7,7,7,8)",Waltz,"""With You I'm Born Again"" - Billy Preston & Syreeta Wright",
Carol and Pasha,"16 (2,5,5,4)",Cha-cha-cha,"""Thunder in My Heart"" - Leo Sayer",
Daniel and Kristina,"24 (4,6,7,7)",Waltz,"""When Irish Eyes Are Smiling"" - Bing Crosby",
Anita and Gleb,"27 (6,7,7,7)",Cha-cha-cha,"""Rather Be"" - Clean Bandit ft. Jess Glynne",
,,,,
Night 2,,,,
,,,,
Couple,Score,Dance,Music,
Jay and Aliona,"27 (5,8,7,7)",Cha-cha-cha,"""Reach Out, I'll Be There"" - Human Nature",
Kirsty and Brendan,"20 (4,5,6,5)",Waltz,"""Vincent"" - Don McLean",
Jeremy and Karen,"19 (2,6,6,5)",Cha-cha-cha,"""September"" - Earth, Wind & Fire",
Georgia and Giovanni,"27 (6,7,7,7)",Jive,"""Dear Future Husband"" - Meghan Trainor",
Ainsley and Natalie,"20 (4,5,6,5)",Tango,"""Voulez-Vous"" - ABBA",
Katie and Anton,"26 (6,6,7,7)",Jive,"""Roll Over Beethoven"" - Chuck Berry",
Iwan and Ola,"17 (3,5,5,4)",Tango,"""Keep On Running"" - The Spencer Davis Group",
Jamelia and Tristan,"21 (4,6,6,5)",Waltz,"""Do Right Woman, Do Right Man"" - Aretha Franklin",
Peter and Janette,"30 (7,8,8,7)",Cha-cha-cha,"""Ain't No Other Man"" - Christina Aguilera",
,,,,
Week 2,,,,
,,,,
"Musical Guest: Rod Stewart - ""Please""",,,,
,,,,
