"Unless indicated otherwise, individual judges scores are given (in parenthesis) in this order from left to right: Craig Revel Horwood, Arlene Phillips, Len Goodman and Bruno Tonioli.",,,,
,,,,
Week 1,,,,
,,,,
Couple,Score,Dance,Music,Result
Julian and Erin,"19 (4,4,5,6)",Cha-cha-cha,"""I'm Outta Love"" - Anastacia",Safe
Carol and Paul,"22 (5,6,5,6)",Waltz,"""Abergavenny"" - Glen Campbell",Bottom Two
Diarmuid and Nicole,"12 (2,2,4,4)",Cha-cha-cha,"""September"" - Earth, Wind & Fire",Safe
Esther and Anton,"24 (5,6,6,7)",Waltz,"""Moon River"" - Andy Williams",Safe
Quentin and Hazel,"8 (1,1,3,3)",Cha-cha-cha,"""Pink Cadillac"" - Natalie Cole",Eliminated
Sarah and Brendan,"28 (6,7,7,8)",Waltz,"""I Wonder Why"" - Curtis Stigers",Safe
Roger and Camilla,"25 (6,6,7,6)",Cha-cha-cha,"""Get The Party Started"" - Pink",Safe
Denise and Ian,"31 (7,8,8,8)",Waltz,"""True Love"" - Pat Boone",Safe
Aled and Lilia,"29 (7,7,8,7)",Cha-cha-cha,"""She Bangs"" - Ricky Martin",Safe
Jill and Darren,"27 (7,6,7,7)",Waltz,"""Weekend In New England"" - Barry Manilow",Safe
,,,,
Week 2,,,,
,,,,
Couple,Score,Dance,Music,Result
Jill and Darren,"32 (8,8,8,8)",Rumba,"""Lady in Red"" - Chris de Burgh",Safe
Aled and Lilia,"27 (7,6,7,7)",Quickstep,"""Cabaret"" - Liza Minnelli",Safe
Sarah and Brendan,"23 (5,6,6,6)",Rumba,"""I Don't Want To Miss A Thing"" - Aerosmith",Safe
Roger and Camilla,"22 (5,5,6,6)",Quickstep,"""Mack The Knife"" - Bobby Darin",Safe
Esther and Anton,"16 (2,4,5,5)",Rumba,"""The Look Of Love"" - Dusty Springfield",Bottom Two
Diarmuid and Nicole,"12 (2,3,4,3)",Quickstep,"""I'll Be There For You"" - The Rembrandts",Safe
Carol and Paul,"20 (5,4,5,6)",Rumba,"""Truly"" - Lionel Richie",Eliminated
Julian and Erin,"27 (6,7,7,7)",Quickstep,"""Diamonds Are A Girl's Best Friend"" - Marilyn Monroe",Safe
Denise and Ian,"32 (8,8,8,8)",Rumba,"""My Heart Will Go On"" - Celine Dion",Safe
,,,,
Week 3,,,,
,,,,
Couple,Score,Dance,Music,Result
Roger and Camilla,"25 (6,6,7,6)",Jive,"""Teenage Wedding"" - Johnny Angel",Safe
Julian and Erin,"27 (6,7,7,7)",Tango,"""Roxanne"" - The Police",Safe
Jill and Darren,"35 (8,9,9,9)",Jive,"""I'm Still Standing"" - Elton John",Safe
Esther and Anton,"16 (2,4,5,5)",Tango,"""Tanguera"" - Mariano Mores",Eliminated
Denise and Ian,"25 (6,6,6,7)",Jive,"""Some Girls"" - Rachel Stevens",Bottom Two
Diarmuid and Nicole,"14 (2,3,5,4)",Tango,"""Por Una Cabeza"" - Quintango",Safe
Aled and Lilia,"32 (8,8,8,8)",Jive,"""Crazy Little Thing Called Love"" - Queen",Safe
Sarah and Brendan,"31 (7,8,8,8)",Tango,"""Hernando's Hideaway"" - Alma Cogan",Safe
,,,,
Week 4,,,,
,,,,
Couple,Score,Dance,Music,Result
Denise and Ian,"30 (7,7,8,8)",Foxtrot,"""Let There Be Love"" - Nat King Cole",Safe
Sarah and Brendan,"29 (8,7,6,8)",Paso Doble,"""Bring Me To Life"" - Evanescence",Bottom Two
Aled and Lilia,"25 (7,6,6,6)",Foxtrot,"""Ain't What You Do"" - Cleo Laine",Safe
Julian and Erin,"20 (4,5,6,5)",Paso Doble,"""Les Toreadors"" - Georges Bizet",Safe
Roger and Camilla,"29 (6,8,8,7)",Foxtrot,"""Why Don't You Do Right"" - Peggy Lee",Safe
Diarmuid and Nicole,"17 (3,4,5,5)",Paso Doble,"""L'Armor Est Un Oiseau Rouge"" - Carmen",Eliminated
Jill and Darren,"34 (8,9,9,8)",Foxtrot,"""All That Jazz"" - Catherine Zeta-Jones",Safe
,,,,
Week 5: Blackpool Week,,,,
,,,,
Couple,Score,Dance,Music,Result
Sarah and Brendan,"23 (5,6,6,6)",Samba,"""Kiss Kiss"" - Holly Valance",Eliminated
Julian and Erin,"24 (5,5,7,7)",Samba,"""Conga"" - Gloria Estefan",Bottom Two
Denise and Ian,"32 (7,8,8,9)",Samba,"""Tequila"" - The Champs",Safe
Roger and Camilla,"23 (4,5,7,7)",Samba,"""Whenever, Wherever"" - Shakira",Safe
Jill and Darren,"35 (8,9,9,9)",Samba,"""Copacabana"" - Barry Manilow",Safe
Aled and Lilia,"30 (6,8,8,8)",Samba,"""It's Not Unusual"" - Tom Jones",Safe
,,,,
Week 6,,,,
,,,,
Couple,Score,Dance,Music,Result
Roger and Camilla,"22 (5,5,6,6)",Waltz,"""She's The One"" - Robbie Williams",Eliminated
,"19 (3,4,6,6)",Rumba,"""We've Got Tonight"" - Kenny Rogers",
Jill and Darren,"32 (8,8,8,8)",Quickstep,"""Get Happy"" - Judy Garland",Safe
,"36 (9,9,9,9)",Cha-cha-cha,"""She's A Lady"" - Tom Jones",
Julian and Erin,"28 (7,7,7,7)",Waltz,"""You Light Up My Life"" - Debby Boone",Bottom Two
,"27 (6,7,7,7)",Rumba,"""You're Still The One"" - Shania Twain",
Denise and Ian,"34 (7,9,9,9)",Quickstep,"""Sing, Sing, Sing"" - Benny Goodman",Safe
,"33 (8,8,8,9)",Cha-cha-cha,"""Uptown Girl"" - Billy Joel",
Aled and Lilia,"29 (7,7,7,8)",Waltz,"""Love Ain't Here Anymore"" - Take That",Safe
,"27 (5,6,8,8)",Rumba,"""When You Say Nothing At All"" - Ronan Keating",
,,,,
Week 7: Semi-final,,,,
,,,,
The first dance for each couple was from Round 1 anad the second from Round 2.,,,,
,,,,
Couple,Score,Dance,Music,Result
Aled and Lilia,"27 (6,7,7,7)",Tango,"""Cell Block Tango"" - Catherine Zeta-Jones",Eliminated
,"30 (7,7,8,8)",Paso Doble,"""Malaguena"" - Connie Francis",
Jill and Darren,"29 (7,8,7,7)",Tango,"""Objection Tango"" - Vio Friedmann",Safe
,"37 (9,10,9,9)",Paso Doble,"""Espana Cani"" - Andre Rieu",
Julian and Erin,"24 (5,5,8,6)",Foxtrot,"""Fever"" - Peggy Lee",Safe
,"21 (4,3,7,7)",Jive,"""Wake Me Up Before You Go Go"" - Wham!",
Denise and Ian,"35 (8,9,9,9)",Tango,"""Goldfinger"" - Shirley Bassey",Bottom Two
,"36 (9,9,9,9)",Paso Doble,"""Don't Cry For Me Argentina"" - Madonna",
,,,,
Week 8: Final (At Blackpool),,,,
,,,,
The first dance for each couple was from Night 1 and the second from Night 2.,,,,
,,,,
Couple,Score,Dance,Music,Result
Denise and Ian,"38 (9,10,9,10)",Quickstep,"""Sing, Sing, Sing"" - Benny Goodman",2nd Place
,"33 (8,8,8,9)",Samba,"""Tequila"" - The Champs",
Jill and Darren,"34 (9,8,9,8)",Foxtrot,"""All That Jazz"" - Catherine Zeta-Jones",Winner
,"40 (10,10,10,10)",Jive,"""I'm Still Standing"" - Elton John",
Julian and Erin,"29 (7,7,8,7)",Quickstep,"""Diamonds Are A Girl's Best Friend"" - Marilyn Monroe",3rd Place
,"23 (5,5,7,6)",Samba,"""Conga"" - Gloria Estefan",
