"Unless indicated otherwise, individual judges scores are given (in parenthesis) in this order from left to right: Craig Revel Horwood, Arlene Phillips, Len Goodman and Bruno Tonioli.",,,,
,,,,
Week 1,,,,
,,,,
"Musical Guest: Simply Red - ""Perfect Love""",,,,
,,,,
Couple,Score,Dance,Music,Result
Darren and Lilia,"19 (3,4,6,6)",Cha-cha-cha,"""Hot Stuff"" - Donna Summer",Safe
Patsy and Anton,"19 (3,4,6,6)",Waltz,"""Fly Me to the Moon"" - Dinah Washington",Safe
Colin and Erin,"32 (8,8,8,8)",Cha-cha-cha,"""Save the Last Dance for Me"" - Michael Buble",Safe
Siobhan and Matthew,"15 (2,4,5,4)",Waltz,"""When the Girl in Your Arms Is the Girl in Your Heart"" - Cliff Richard",Eliminated
James and Camilla,"22 (4,5,6,7)",Cha-cha-cha,"""Something Got Me Started"" - Simply Red",Safe
Gloria and Darren,"22 (4,5,7,6)",Waltz,"""Lady"" - Kenny Rogers",Safe
Will and Hanna,"18 (3,3,7,5)",Cha-cha-cha,"""Crazy Chick"" - Charlotte Church",Bottom Two
Jaye and Andrew,"25 (6,5,7,7)",Waltz,"""When I Need You"" - Leo Sayer",Safe
Bill and Karen,"29 (7,7,8,7)",Cha-cha-cha,"""Love Potion No. 9"" - The Searchers",Safe
Fiona and Brendan,"11 (2,2,4,3)",Waltz,"""Sam"" - Olivia Newton-John",Safe
Dennis and Izabela,"20 (5,5,5,5)",Cha-cha-cha,"""Music"" - Madonna",Safe
Zoe and Ian,"35 (8,9,9,9)",Waltz,"""Take It to the Limit"" - Eagles",Safe
,,,,
Week 2,,,,
,,,,
"Musical Guest: Westlife - ""You Raise Me Up""",,,,
,,,,
Couple,Score,Dance,Music,Result
James and Camilla,"29 (6,7,8,8)",Quickstep,"""Luck Be A Lady"" - Frank Sinatra",Safe
Jaye and Andrew,"21 (4,4,7,6)",Rumba,"""How Could an Angel Break My Heart"" - Kenny G feat. Toni Braxton",Eliminated
Dennis and Izabela,"18 (4,5,5,4)",Quickstep,"""I'm So Excited"" - The Pointer Sisters",Safe
Patsy and Anton,"26 (6,6,7,7)",Rumba,"""She"" - Elvis Presley",Safe
Darren and Lilia,"30 (7,7,8,8)",Quickstep,"""Let Me Entertain You"" - Robbie Williams",Safe
Zoe and Ian,"32 (7,8,8,9)",Rumba,"""One Moment in Time"" - Whitney Houston",Safe
Will and Hanna,"29 (7,7,8,7)",Quickstep,"""You Can't Hurry Love"" - Phil Collins",Safe
Gloria and Darren,"17 (2,4,5,6)",Rumba,"""Holding Back the Years"" - Simply Red",Bottom Two
Bill and Karen,"23 (5,6,6,6)",Quickstep,"""Do Your Thing"" - Basement Jaxx",Safe
Fiona and Brendan,"13 (1,2,6,4)",Rumba,"""Almost Here"" - Brian McFadden feat. Delta Goodrem",Safe
Colin and Erin,"36 (9,9,9,9)",Quickstep,"""Nice Work If You Can Get It"" - Bing Crosby",Safe
,,,,
Week 3,,,,
,,,,
"Musical Guest: Michael Buble - ""Save the Last Dance for Me""",,,,
,,,,
Couple,Score,Dance,Music,Result
Zoe and Ian,"29 (7,6,8,8)",Jive,"""Part Time Lover"" - Stevie Wonder",Safe
Bill and Karen,"20 (4,5,6,5)",Tango,"""Perhaps, Perhaps, Perhaps"" - Doris Day",Safe
