"Unless indicated otherwise, individual judges scores are given (in parenthesis) in this order from left to right: Craig Revel Horwood, Len Goodman, Alesha Dixon and Bruno Tonioli.",,,,
,,,,
Week 1,,,,
,,,,
"Musical Guest: Katherine Jenkins - ""I Believe""",,,,
,,,,
Night 1 - Ballroom,,,,
,,,,
Couple,Score,Dance,Music,
Rav and Aliona,"19 (3,6,5,5)",Tango,"""Baby Did a Bad, Bad Thing"" - Chris Isaak",
Ricky and Erin,"21 (4,6,6,5)",Waltz,"""What'll I Do"" - Irving Berlin",
Chris and Ola,"26 (6,7,7,6)",Tango,"""Sharp Dressed Man"" - ZZ Top",
Jade and Ian,"25 (6,7,6,6)",Waltz,"""Weekend in New England"" - Barry Manilow",
Martina and Matthew,"22 (4,6,6,6)",Waltz,"""Jesse"" - Roberta Flack",
Lynda and Darren,"21 (3,6,7,5)",Tango,"""Under Pressure"" - Queen & David Bowie",
Ali and Brian,"30 (7,8,8,7)",Waltz,"""Reach Out and Touch (Somebody's Hand)"" - Diana Ross",
Joe and Kristina,"16 (2,5,5,4)",Tango,"""Cite Tango"" - Astor Piazzolla",
,,,,
Night 2 - Latin,,,,
,,,,
Couple,Score,Dance,Music,Result
Jade and Ian,"27 (6,7,7,7)",Cha-cha-cha,"""Ain't No Other Man"" - Christina Aguilera",Safe
Ali and Brian,"30 (7,7,8,8)",Rumba,"""That's What Friends Are For"" - Dionne Warwick",Safe
Lynda and Darren,"23 (5,6,6,6)",Cha-cha-cha,"""Don't Go Breaking My Heart"" - Elton John and Kiki Dee",Safe
Rav and Aliona,"22 (4,6,5,7)",Rumba,"""Temptation"" - Tom Waits",Bottom Two
Chris and Ola,"30 (7,8,7,8)",Rumba,"""Don't Know Much"" - Linda Ronstadt",Safe
Joe and Kristina,"16 (2,5,5,4)",Cha-cha-cha,"""Chain of Fools"" - Aretha Franklin",Safe
Martina and Matthew,"24 (5,6,7,6)",Rumba,"""Alone"" - Heart",Eliminated
Ricky and Erin,"26 (6,7,7,6)",Cha-cha-cha,"""Jump (for My Love)"" - The Pointer Sisters",Safe
,,,,
Week 2,,,,
,,,,
"Musical Guest: Jamie Cullum - ""I'm All Over It""",,,,
,,,,
Night 1 - Ballroom,,,,
,,,,
Couple,Score,Dance,Music,
Natalie and Vincent,"24 (6,6,6,6)",Tango,"""Spider of the Night"" - Pedro Manilla",
Zoe and James,"30 (7,8,7,8)",Waltz,"""Some Day My Prince Will Come"" - Adriana Caselotti",
