"Unless indicated otherwise, individual judges scores are given (in parenthesis) in this order from left to right: Craig Revel Horwood, Len Goodman, Alesha Dixon and Bruno Tonioli.",,,,
,,,,
Launch Show,,,,
,,,,
"Musical Guest: Dolly Parton - ""Together You and I""",,,,
,,,,
Week 1,,,,
,,,,
Night 1,,,,
,,,,
Couple,Score,Dance,Music,
Holly and Artem,"28 (6,7,8,7)",Cha-cha-cha,"""Who's That Chick?"" - David Guetta ft. Rihanna",
Dan and Katya,"24 (4,7,7,6)",Waltz,"""Are You Lonesome Tonight?"" - Elvis Presley",
Lulu and Brendan,"17 (2,5,5,5)",Cha-cha-cha,"""I've Got The Music In Me"" - Kiki Dee",
Audley and Natalie,"20 (3,5,6,6)",Waltz,"""Angel"" - Sarah McLachlan",
Robbie and Ola,"19 (2,6,6,5)",Cha-cha-cha,"""Bad Boys"" - Alexandra Burke ft. Flo Rida",
Anita and Robin,"28 (7,7,7,7)",Waltz,"""Three Times a Lady"" - Commodores",
Russell and Flavia,"21 (4,5,6,6)",Cha-cha-cha,"""Venus"" - Bananarama",
,,,,
Night 2,,,,
,,,,
Couple,Score,Dance,Music,
Harry and Aliona,"28 (6,7,8,7)",Cha-cha-cha,"""Moves Like Jagger"" - Maroon 5 ft. Christina Aguilera",
Rory and Erin,"27 (6,7,7,7)",Waltz,"""Weekend In New England"" - Barry Manilow",
Alex and James,"22 (4,6,6,6)",Cha-cha-cha,"""When Love Takes Over"" - David Guetta ft. Kelly Rowland",
Chelsee and Pasha,"27 (7,6,7,7)",Waltz,"""See the Day"" - Dee C. Lee",
Edwina and Vincent,"17 (2,5,5,5)",Cha-cha-cha,"""Build Me Up Buttercup"" - The Foundations",
Nancy and Anton,"12 (1,4,3,4)",Waltz,"""In Napoli"" - Dean Martin",
Jason and Kristina,"32 (8,8,8,8)",Cha-cha-cha,"""Gimme Some Lovin'"" - The Spencer Davis Group",
,,,,
Week 2,,,,
,,,,
"Musical Guest: Will Young - ""Come On""",,,,
,,,,
Couple,Score,Dance,Music,Result
Chelsee and Pasha,"29 (7,7,8,7)",Salsa,"""Higher"" - Taio Cruz ft. Kylie Minogue",Safe
Edwina and Vincent,"19 (4,5,5,5)",Foxtrot,"""Buona Sera"" - Dean Martin",Eliminated
Audley and Natalie,"23 (5,6,6,6)",Salsa,"""Don't Stop 'Til You Get Enough"" - Michael Jackson",Bottom Two
Alex and James,"29 (6,8,7,8)",Foxtrot,"""Have You Met Miss Jones?"" - Frank Sinatra",Safe
Dan and Katya,"21 (4,6,6,5)",Salsa,"""Upside Down"" - Diana Ross",Safe
Lulu and Brendan,"25 (5,6,7,7)",Foxtrot,"""Breakeven"" - The Script",Safe
Holly and Artem,"30 (7,7,8,8)",Salsa,"""Mas Que Nada"" - Sergio Mendes & The Black Eyed Peas",Safe
Rory and Erin,"22 (4,6,6,6)",Salsa,"""Vehicle"" - The Ides of March",Safe
Robbie and Ola,"29 (7,8,7,7)",Foxtrot,"""Ain't That a Kick in the Head?"" - Dean Martin",Safe
Anita and Robin,"28 (7,7,7,7)",Salsa,"""Jump In The Line (Shake, Senora)"" - Harry Belafonte",Safe
Jason and Kristina,"33 (8,8,9,8)",Foxtrot,"""Why Don't You Do Right"" - Peggy Lee",Safe
Nancy and Anton,"14 (3,5,2,4)",Salsa,"""Papa Loves Mambo"" - Perry Como",Safe
Harry and Aliona,"27 (6,6,8,7)",Foxtrot,"""Just the Way You Are"" - Bruno Mars",Safe
Russell and Flavia,"25 (6,6,6,7)",Salsa,"""Dancing Queen"" - ABBA",Safe
,,,,
Week 3: Broadway Night,,,,
,,,,
