"Unless indicated otherwise, individual judges scores are given (in parenthesis) in this order from left to right: Craig Revel Horwood, Len Goodman, Alesha Dixon and Bruno Tonioli.",,,,
,,,,
Week 1,,,,
,,,,
"Musical Guest: Robbie Williams and Gary Barlow - ""Shame""",,,,
,,,,
Night 1,,,,
,,,,
Couple,Score,Dance,Music,
Felicity and Vincent,"23 (4,5,7,7)",Cha-cha-cha,"""Sunny"" - Bobby Hebb",
Scott and Natalie,"29 (6,7,8,8)",Waltz,"""I Never Loved A Man (The Way I Love You)"" - Aretha Franklin",
Goldie and Kristina,"20 (3,6,6,5)",Cha-cha-cha,"""Tik Tok"" - Ke$ha",
Patsy and Robin,"22 (4,6,6,6)",Waltz,"""When I Need You"" - Leo Sayer",
Matt and Aliona,"31 (7,8,8,8)",Cha-cha-cha,"""Ain't No Mountain High Enough"" - Marvin Gaye & Tammi Terrell",
Pamela and James,"31 (7,8,8,8)",Waltz,"""If I Ain't Got You"" - Alicia Keys",
Paul and Ola,"16 (2,5,5,4)",Cha-cha-cha,"""Could It Be Magic"" - Take That",
,,,,
Night 2,,,,
,,,,
Couple,Score,Dance,Music,
Jimi and Flavia,"26 (6,7,6,7)",Cha-cha-cha,"""Don't Upset the Rhythm (Go Baby Go)"" - Noisettes",
Peter and Erin,"21 (4,6,6,5)",Waltz,"""Take It to the Limit"" - Eagles",
Michelle and Brendan,"24 (5,6,7,6)",Cha-cha-cha,"""Stone Cold Sober"" - Paloma Faith",
Gavin and Katya,"28 (6,8,7,7)",Waltz,"""You Light Up My Life"" - Debby Boone",
Tina and Jared,"24 (5,7,6,6)",Cha-cha-cha,"""California Gurls"" - Katy Perry (ft. Snoop Dogg)",
Ann and Anton,"17 (2,5,5,5)",Waltz,"""My Cherie"" - Al Martino",
Kara and Artem,"30 (7,8,8,7)",Cha-cha-cha,"""I Like It"" - Enrique Iglesias (ft. Pitbull)",
,,,,
Week 2,,,,
,,,,
"Musical Guest: Robbie Williams - ""Rock DJ""",,,,
,,,,
Couple,Score,Dance,Music,Result
Matt and Aliona,"31 (7,8,8,8)",Foxtrot,"""She Said"" - Plan B",Safe
Peter and Erin,"17 (3,5,5,4)",Salsa,"""Mambo No. 5"" - Perez Prado",Bottom Two
Tina and Jared,"26 (6,6,7,7)",Foxtrot,"""On the Sunny Side of the Street"" - Frankie Laine",Safe
Patsy and Robin,"28 (7,7,7,7)",Salsa,"""Canned Heat"" - Jamiroquai",Safe
Paul and Ola,"21 (4,6,6,5)",Foxtrot,"""Lady Luck"" - Brian Setzer",Safe
Scott and Natalie,"32 (8,8,8,8)",Salsa,"""Let's Hear It for the Boy"" - Deniece Williams",Safe
Michelle and Brendan,"26 (6,7,7,6)",Foxtrot,"""It Had to Be You"" - Harry Connick, Jr.",Safe
Goldie and Kristina,"26 (6,7,7,6)",Foxtrot,"""The Business of Love"" - Domino",Eliminated
Pamela and James,"32 (8,8,8,8)",Salsa,"""Dr. Beat"" - Gloria Estefan",Safe
Felicity and Vincent,"25 (6,6,6,7)",Foxtrot,"""Somethin' Stupid"" - Frank Sinatra & Nancy Sinatra",Safe
Ann and Anton,"12 (1,4,4,3)",Salsa,"""Mambo Italiano"" - Dean Martin",Safe
Kara and Artem,"31 (7,8,9,8)",Foxtrot,"""From Russia with Love"" - Matt Monro",Safe
Gavin and Katya,"19 (3,6,5,5)",Salsa,"""Don't Stop the Music"" - Rihanna",Safe
Jimi and Flavia,"30 (7,7,8,8)",Foxtrot,"""Fever"" - Peggy Lee",Safe
,,,,
Week 3,,,,
,,,,
"Musical Guest: Peter Andre - ""Defender""",,,,
,,,,
Couple,Score,Dance,Music,Result
Kara and Artem,"31 (8,8,8,7)",Quickstep,"""Are You Gonna Be My Girl"" - Jet",Safe
Felicity and Vincent,"29 (7,7,8,7)",Rumba,"""True Colors"" - Cyndi Lauper",Safe
Patsy and Robin,"24 (5,6,7,6)",Quickstep,"""Black Horse and the Cherry Tree"" - KT Tunstall",Safe
Paul and Ola,"16 (2,5,5,4)",Rumba,"""Take a Bow"" - Rihanna",Eliminated
Matt and Aliona,"31 (8,7,8,8)",Quickstep,"""Dreaming of You"" - The Coral",Safe
Gavin and Katya,"22 (3,6,7,6)",Rumba,"""Always on My Mind"" - Elvis Presley",Safe
Scott and Natalie,"34 (8,8,9,9)",Quickstep,"""I Wan'na Be Like You (The Monkey Song)"" - Louis Prima",Safe
Michelle and Brendan,"24 (4,6,7,7)",Rumba,"""Wicked Game"" - Chris Isaak",Bottom Two
Peter and Erin,"26 (6,7,7,6)",Quickstep,"""Lullaby of Broadway"" - Tony Bennett",Safe
Jimi and Flavia,"25 (6,7,6,6)",Rumba,"""Ain't No Sunshine"" - Bill Withers",Safe
Ann and Anton,"18 (3,5,5,5)",Quickstep,"""Puttin' On the Ritz"" - Fred Astaire",Safe
Pamela and James,"35 (9,8,9,9)",Rumba,"""Make You Feel My Love"" - Adele",Safe
,,,,
Week 4,,,,
,,,,
"Musical Guest: Neil Diamond - ""Midnight Train to Georgia""",,,,
,,,,
Couple,Score,Dance,Music,Result
Jimi and Flavia,"27 (6,7,7,7)",Charleston,"""Do Your Thing"" - Basement Jaxx",Safe
Scott and Natalie,"35 (8,9,9,9)",Tango,"""Allegretto"" - Bond",Safe
Tina and Jared,"29 (7,7,8,7)",Charleston,"""You Give a Little Love"" - from Bugsy Malone",Safe
Felicity and Vincent,"29 (7,7,7,8)",Tango,"""Czardas"" - Monti",Safe
Patsy and Robin,"28 (6,8,7,7)",Charleston,"""Hot Honey Rag"" - from Chicago",Safe
Gavin and Katya,"23 (5,6,6,6)",Tango,"""Toxic"" - Britney Spears",Safe
Peter and Erin,"17 (2,5,6,4)",Charleston,"""Cabaret"" - Liza Minnelli",Eliminated
Pamela and James,"34 (8,8,9,9)",Tango,"""Love Is the Drug"" - Roxy Music",Safe
Matt and Aliona,"35 (9,9,9,8)",Charleston,"""42nd Street"" - from 42nd Street",Safe
Michelle and Ian Waite,"27 (6,7,7,7)",Tango,"""Killer"" - Adamski & Seal",Bottom Two
Kara and Artem,"32 (8,8,8,8)",Charleston,"""Put a Lid On It"" - Squirrel Nut Zippers",Safe
Ann and Anton,"21 (3,7,6,5)",Tango,"""La Cumparsita"" - Gerardo Matos Rodriguez",Safe
,,,,
Ian Waite stood in for Brendan Cole who was away attending his father's funeral.,,,,
,,,,
Week 5: Halloween Week,,,,
,,,,
"Musical Guest: Alice Cooper - ""Poison"" ",,,,
,,,,
Couple,Score,Dance,Music,Result
Pamela and James,"27 (6,7,7,7)",Jive,"""Devil Gate Drive""",Safe
Tina and Jared,"28 (6,8,7,7)",Argentine Tango,"""Beautiful Monster"" - Ne-Yo",Eliminated
Kara and Artem,"37 (9,9,10,9)",Paso Doble,"""The Phantom of the Opera"" - from The Phantom of the Opera",Safe
Patsy and Robin,"31 (7,8,8,8)",Jive,"""Monster Mash"" - Bobby ""Boris"" Pickett",Safe
Felicity and Vincent,"26 (6,7,6,7)",Viennese Waltz,"""Waltz Number 2"" - Shostakovich",Bottom Two
Jimi and Flavia,"30 (7,7,8,8)",Paso Doble,"""Thriller"" - Michael Jackson",Safe
Michelle and Brendan,"29 (7,6,8,8)",Jive,"""The Time Warp"" - from The Rocky Horror Show",Safe
Gavin and Katya,"26 (5,7,7,7)",Paso Doble,"""Uprising"" - Muse",Safe
